Círculo	Nome	Escola (Descritor)	Descrição Visual	Efeito	Aprimoramento (Exemplos)	Prompt base
1º	Alarme	Convocação	Um fio prateado invisível delimita uma área; ao ser cruzado, emite um som de sino.	Aviso sonoro ou mental se a área for invadida.	+2 PM: Dispara também contra teletransporte.	Cria a imagem de Tormenta 20 para a Magia 'Alarme' que é do tipo 'Convocação', do 1º círculo, com o efeito 'Um fio prateado invisível delimita uma área; ao ser cruzado, emite um som de sino.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Amizade Animal	Convocação	Você emite uma vibração calmante que pacifica feras selvagens.	Uma fera não treinada não ataca e se torna amigável.	+2 PM: Mais alvos.+5 PM: Duração de um dia.	Cria a imagem de Tormenta 20 para a Magia 'Amizade Animal' que é do tipo 'Convocação', do 1º círculo, com o efeito 'Você emite uma vibração calmante que pacifica feras selvagens.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Área Escorregadia	Convocação	O chão é subitamente coberto por uma substância viscosa e gordurosa.	Criaturas devem passar em Reflexos ou caem; terreno difícil.	+1 PM: Torna-se inflamável (dano de fogo).	Cria a imagem de Tormenta 20 para a Magia 'Área Escorregadia' que é do tipo 'Convocação', do 1º círculo, com o efeito 'O chão é subitamente coberto por uma substância viscosa e gordurosa.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Conjurar Monstro	Convocação	Uma fenda se abre e uma criatura pequena e mística salta para o combate.	Invoca um monstro pequeno para atacar ou flanquear.	+1 PM: Dá habilidade especial (voo, veneno).+3 PM: Invoca monstro Médio.	Cria a imagem de Tormenta 20 para a Magia 'Conjurar Monstro' que é do tipo 'Convocação', do 1º círculo, com o efeito 'Uma fenda se abre e uma criatura pequena e mística salta para o combate.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Névoa	Convocação	Uma bruma espessa e fria surge do nada, cobrindo tudo ao redor.	Fornece camuflagem e bloqueia a visão.	+1 PM: Vira névoa fétida (enjoo).+2 PM: Vira névoa sólida (teia).	Cria a imagem de Tormenta 20 para a Magia 'Névoa' que é do tipo 'Convocação', do 1º círculo, com o efeito 'Uma bruma espessa e fria surge do nada, cobrindo tudo ao redor.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Adaga Mental	Encantamento (Mental)	Um estilhaço de energia roxa cruza o ar diretamente para a têmpora do alvo.	Causa 2d6 de dano psíquico e deixa o alvo atordoado.	+2 PM: Dano aumenta em +1d6.+2 PM: Alvo fica abalado se falhar.	Cria a imagem de Tormenta 20 para a Magia 'Adaga Mental' que é do tipo 'Encantamento (Mental)', do 1º círculo, com o efeito 'Um estilhaço de energia roxa cruza o ar diretamente para a têmpora do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Comando	Encantamento (Mental)	Sua voz ressoa com uma autoridade que não pode ser ignorada.	Alvo deve obedecer a uma ordem de uma palavra (Pare, Venha).	+2 PM: Mais alvos.+5 PM: Ordem pode ser frase complexa.	Cria a imagem de Tormenta 20 para a Magia 'Comando' que é do tipo 'Encantamento (Mental)', do 1º círculo, com o efeito 'Sua voz ressoa com uma autoridade que não pode ser ignorada.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Enfeitiçar	Encantamento (Mental)	Seu rosto e voz tornam-se irresistivelmente amigáveis aos olhos do alvo.	O alvo se torna prestativo em relação a você.	+2 PM: Duração de um dia.+2 PM: Alvo não percebe o efeito após o fim.	Cria a imagem de Tormenta 20 para a Magia 'Enfeitiçar' que é do tipo 'Encantamento (Mental)', do 1º círculo, com o efeito 'Seu rosto e voz tornam-se irresistivelmente amigáveis aos olhos do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Hipnotizar	Encantamento (Mental)	Suas mãos traçam padrões hipnóticos no ar, prendendo o olhar das criaturas.	Deixa criaturas fascinadas (incapazes de agir).	+1 PM: Mais alvos.+2 PM: Alvos não lembram da cena.	Cria a imagem de Tormenta 20 para a Magia 'Hipnotizar' que é do tipo 'Encantamento (Mental)', do 1º círculo, com o efeito 'Suas mãos traçam padrões hipnóticos no ar, prendendo o olhar das criaturas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Sono	Encantamento (Mental)	Uma poeira prateada cai sobre os olhos dos inimigos, pesando suas pálpebras.	O alvo cai em um sono profundo.	+2 PM: Afeta imunes a sono.+5 PM: Vira nuvem de sono em área.	Cria a imagem de Tormenta 20 para a Magia 'Sono' que é do tipo 'Encantamento (Mental)', do 1º círculo, com o efeito 'Uma poeira prateada cai sobre os olhos dos inimigos, pesando suas pálpebras.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Curar Ferimentos	Evocação (Luz)	Uma luz dourada emana de suas mãos, fechando cortes.	Restaura 2d8+2 pontos de vida.	+2 PM: Cura aumenta em +1d8+1.+5 PM: Afeta aliados em área.	Cria a imagem de Tormenta 20 para a Magia 'Curar Ferimentos' que é do tipo 'Evocação (Luz)', do 1º círculo, com o efeito 'Uma luz dourada emana de suas mãos, fechando cortes.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Explosão de Chamas	Evocação (Fogo)	Um cone de labaredas ruidosas irrompe das suas mãos estendidas.	Causa 2d6 de dano de fogo em cone de 6m.	+2 PM: Dano aumenta em +1d6.+2 PM: Alvos ficam em chamas.	Cria a imagem de Tormenta 20 para a Magia 'Explosão de Chamas' que é do tipo 'Evocação (Fogo)', do 1º círculo, com o efeito 'Um cone de labaredas ruidosas irrompe das suas mãos estendidas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Luz	Evocação (Luz)	Um objeto tocado brilha como uma tocha, emitindo luz clara.	Ilumina um raio de 6 metros.	+0 PM (Truque): Dura apenas a cena.+1 PM: Luz cega quem olhar direto.	Cria a imagem de Tormenta 20 para a Magia 'Luz' que é do tipo 'Evocação (Luz)', do 1º círculo, com o efeito 'Um objeto tocado brilha como uma tocha, emitindo luz clara.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Seta Infalível de Talude	Evocação (Essência)	Dardos de energia mágica azulada atingem o alvo sem erro.	Dois dardos causam 2d4+2 de dano de essência.	+2 PM: Lança seta adicional.+2 PM: Dano vira 1d6+1 por seta.	Cria a imagem de Tormenta 20 para a Magia 'Seta Infalível de Talude' que é do tipo 'Evocação (Essência)', do 1º círculo, com o efeito 'Dardos de energia mágica azulada atingem o alvo sem erro.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Toque Chocante	Evocação (Eletricidade)	Faíscas azuis estalam entre seus dedos no toque ao oponente.	Causa 2d8+2 de dano elétrico.	+2 PM: Dano aumenta em +1d8+1.+2 PM: Alvo perde reações.	Cria a imagem de Tormenta 20 para a Magia 'Toque Chocante' que é do tipo 'Evocação (Eletricidade)', do 1º círculo, com o efeito 'Faíscas azuis estalam entre seus dedos no toque ao oponente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Criar Ilusão	Ilusão	Você molda o ar para criar uma imagem ou som perfeitamente real.	Cria ilusão visual ou auditiva estática.	+1 PM: Inclui cheiro e temperatura.+3 PM: Ilusão móvel e sonora.	Cria a imagem de Tormenta 20 para a Magia 'Criar Ilusão' que é do tipo 'Ilusão', do 1º círculo, com o efeito 'Você molda o ar para criar uma imagem ou som perfeitamente real.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Disfarce Ilusório	Ilusão	Uma névoa rápida cobre seu corpo, revelando nova aparência.	Muda aparência física, roupas e equipamentos.	+2 PM: Muda categoria de tamanho visual.+5 PM: Muda voz e cheiro.	Cria a imagem de Tormenta 20 para a Magia 'Disfarce Ilusório' que é do tipo 'Ilusão', do 1º círculo, com o efeito 'Uma névoa rápida cobre seu corpo, revelando nova aparência.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Imagem Espelhada	Ilusão	Três cópias exatas suas aparecem, confundindo os ataques.	Cria duplicatas que dão +6 na Defesa.	+2 PM: Bônus de defesa aumenta.+5 PM: Cópias explodem ao sumir (cegueira).	Cria a imagem de Tormenta 20 para a Magia 'Imagem Espelhada' que é do tipo 'Ilusão', do 1º círculo, com o efeito 'Três cópias exatas suas aparecem, confundindo os ataques.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Amaldiçoar Arma	Necromancia (Trevas)	Sombras rastejam pela lâmina, deixando-a negra e gélida.	Arma causa +1d6 de dano necrótico.	+2 PM: Dano aumenta em +1d6.+5 PM: Dano cura o portador.	Cria a imagem de Tormenta 20 para a Magia 'Amaldiçoar Arma' que é do tipo 'Necromancia (Trevas)', do 1º círculo, com o efeito 'Sombras rastejam pela lâmina, deixando-a negra e gélida.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Infligir Ferimentos	Necromancia (Trevas)	Suas mãos tornam-se pálidas e frias; a pele do alvo murcha no toque.	Causa 2d8+2 de dano necrótico.	+2 PM: Dano aumenta em +1d8+1.+5 PM: Alvo fica fraco.	Cria a imagem de Tormenta 20 para a Magia 'Infligir Ferimentos' que é do tipo 'Necromancia (Trevas)', do 1º círculo, com o efeito 'Suas mãos tornam-se pálidas e frias; a pele do alvo murcha no toque.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Toque Vampírico	Necromancia (Trevas)	Uma névoa negra liga você ao alvo, drenando o brilho dos olhos dele.	Causa 2d6 dano necrótico; você cura metade do dano.	+2 PM: Dano aumenta em +1d6.+5 PM: Cura valor total do dano.	Cria a imagem de Tormenta 20 para a Magia 'Toque Vampírico' que é do tipo 'Necromancia (Trevas)', do 1º círculo, com o efeito 'Uma névoa negra liga você ao alvo, drenando o brilho dos olhos dele.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Alterar Tamanho	Transmutação	O corpo do alvo estica ou encolhe rapidamente com estalos ósseos.	Muda tamanho em uma categoria (Aumentar ou Reduzir).	+2 PM: Aumenta bônus de dano (Aumentar).+5 PM: Duração de um dia.	Cria a imagem de Tormenta 20 para a Magia 'Alterar Tamanho' que é do tipo 'Transmutação', do 1º círculo, com o efeito 'O corpo do alvo estica ou encolhe rapidamente com estalos ósseos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Armamento da Natureza	Transmutação	Garras crescem ou sua pele torna-se áspera como casca de árvore.	Dá armas naturais (1d6 dano).	+1 PM: +1 nos ataques.+2 PM: Dano das armas aumenta.	Cria a imagem de Tormenta 20 para a Magia 'Armamento da Natureza' que é do tipo 'Transmutação', do 1º círculo, com o efeito 'Garras crescem ou sua pele torna-se áspera como casca de árvore.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Primor Atlético	Transmutação	Seus músculos se tensionam e seus reflexos tornam-se sobre-humanos.	+5 em Atletismo; Deslocamento +3m.	+2 PM: Bônus em Acrobacia.+2 PM: Habilidade de escalar.	Cria a imagem de Tormenta 20 para a Magia 'Primor Atlético' que é do tipo 'Transmutação', do 1º círculo, com o efeito 'Seus músculos se tensionam e seus reflexos tornam-se sobre-humanos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Queda Suave	Transmutação	O corpo torna-se leve como uma pena, flutuando em direção ao solo.	Reduz velocidade de queda; evita dano de queda.	+1 PM: Afeta mais criaturas.+2 PM: Permite planar.	Cria a imagem de Tormenta 20 para a Magia 'Queda Suave' que é do tipo 'Transmutação', do 1º círculo, com o efeito 'O corpo torna-se leve como uma pena, flutuando em direção ao solo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Campo de Força	Abjuração	Uma barreira hexagonal translúcida e brilhante surge instantaneamente para interceptar um golpe.	Como reação, você recebe 30 pontos de vida temporários contra um ataque.	+2 PM: Aumenta os PV temporários em +10.+2 PM: A duração muda para a cena.	Cria a imagem de Tormenta 20 para a Magia 'Campo de Força' que é do tipo 'Abjuração', do 2º círculo, com o efeito 'Uma barreira hexagonal translúcida e brilhante surge instantaneamente para interceptar um golpe.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Dissipar Magia	Abjuração	Um pulso de energia branca emana do conjurador, "limpando" as energias mágicas ao redor.	Encerra magias ativas em uma criatura, objeto ou área.	+4 PM: Alvos afetados perdem todos os benefícios de magias ativas.	Cria a imagem de Tormenta 20 para a Magia 'Dissipar Magia' que é do tipo 'Abjuração', do 2º círculo, com o efeito 'Um pulso de energia branca emana do conjurador, "limpando" as energias mágicas ao redor.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Vestimenta da Fé	Abjuração	A vestimenta ou armadura do alvo brilha com uma aura sagrada e protetora.	O alvo recebe +2 de Defesa.	+3 PM: O bônus aumenta para +5.+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Vestimenta da Fé' que é do tipo 'Abjuração', do 2º círculo, com o efeito 'A vestimenta ou armadura do alvo brilha com uma aura sagrada e protetora.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Mente Divina	Adivinhação	Os olhos do alvo brilham com uma luz azulada; sua percepção e raciocínio tornam-se aguçados.	O alvo recebe +2 em testes de Inteligência, Sabedoria ou Carisma.	+3 PM: O bônus aumenta para +5.+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Mente Divina' que é do tipo 'Adivinhação', do 2º círculo, com o efeito 'Os olhos do alvo brilham com uma luz azulada; sua percepção e raciocínio tornam-se aguçados.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Sentidos Aguçados	Adivinhação	Os sentidos do alvo são amplificados; ele consegue ouvir o bater de asas de um inseto à distância.	O alvo recebe +5 em Percepção e Iniciativa e ignora camuflagem.	+2 PM: O bônus aumenta em +2.+5 PM: A duração muda para um dia.	Cria a imagem de Tormenta 20 para a Magia 'Sentidos Aguçados' que é do tipo 'Adivinhação', do 2º círculo, com o efeito 'Os sentidos do alvo são amplificados; ele consegue ouvir o bater de asas de um inseto à distância.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Vidência	Adivinhação	O conjurador entra em transe enquanto uma imagem flutuante do alvo aparece à sua frente.	Você pode ver e ouvir uma criatura à distância através de um sensor invisível.	+2 PM: O sensor pode se mover pelo cenário acompanhando o alvo.	Cria a imagem de Tormenta 20 para a Magia 'Vidência' que é do tipo 'Adivinhação', do 2º círculo, com o efeito 'O conjurador entra em transe enquanto uma imagem flutuante do alvo aparece à sua frente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Montaria Arcana	Convocação	Uma criatura majestosa e translúcida surge do nada para servir como cavalgadura.	Invoca um cavalo mágico (ou similar) com deslocamento de 18m.	+2 PM: A montaria pode caminhar sobre a água ou escalar superfícies.	Cria a imagem de Tormenta 20 para a Magia 'Montaria Arcana' que é do tipo 'Convocação', do 2º círculo, com o efeito 'Uma criatura majestosa e translúcida surge do nada para servir como cavalgadura.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Salto Dimensional	Convocação	O conjurador desaparece em um flash de luz ou fumaça e reaparece instantaneamente em outro local.	Você se teleporta para um local à vista dentro do alcance curto.	+2 PM: O alcance muda para médio.+3 PM: Você pode levar uma criatura voluntária junto.	Cria a imagem de Tormenta 20 para a Magia 'Salto Dimensional' que é do tipo 'Convocação', do 2º círculo, com o efeito 'O conjurador desaparece em um flash de luz ou fumaça e reaparece instantaneamente em outro local.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Oração	Encantamento	Um hino celestial ou cântico de guerra ressoa no campo de batalha, fortalecendo aliados.	Aliados recebem +2 em testes de perícia e ataques; inimigos recebem -2.	+2 PM: Os bônus e penalidades aumentam em +1/-1.	Cria a imagem de Tormenta 20 para a Magia 'Oração' que é do tipo 'Encantamento', do 2º círculo, com o efeito 'Um hino celestial ou cântico de guerra ressoa no campo de batalha, fortalecendo aliados.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Pânico	Encantamento (Medo)	O conjurador projeta uma aura de pavor absoluto; as sombras parecem ganhar formas aterrorizantes.	Inimigos na área devem passar em Vontade ou ficam apavorados.	+2 PM: O alvo fica paralisado de medo se falhar por 5 ou mais.	Cria a imagem de Tormenta 20 para a Magia 'Pânico' que é do tipo 'Encantamento (Medo)', do 2º círculo, com o efeito 'O conjurador projeta uma aura de pavor absoluto; as sombras parecem ganhar formas aterrorizantes.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Sugestão	Encantamento (Mental)	O conjurador sussurra palavras imbuídas de magia que soam como a melhor ideia do mundo para o alvo.	O alvo obedece a um comando razoável ("Vá para casa", "Solte a arma").	+5 PM: O alvo não percebe que foi influenciado após o fim da magia.	Cria a imagem de Tormenta 20 para a Magia 'Sugestão' que é do tipo 'Encantamento (Mental)', do 2º círculo, com o efeito 'O conjurador sussurra palavras imbuídas de magia que soam como a melhor ideia do mundo para o alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Bola de Fogo	Evocação (Fogo)	Uma pequena fagulha viaja pelo ar e explode em uma imensa redoma de fogo ruginte.	Causa 6d6 de dano de fogo em uma área de 6m de raio.	+2 PM: Aumenta o dano em +2d6.+3 PM: O raio da explosão aumenta para 9 metros.	Cria a imagem de Tormenta 20 para a Magia 'Bola de Fogo' que é do tipo 'Evocação (Fogo)', do 2º círculo, com o efeito 'Uma pequena fagulha viaja pelo ar e explode em uma imensa redoma de fogo ruginte.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Consagrar	Evocação (Luz)	Uma área é banhada por uma luz celestial permanente; a grama cresce e o ar torna-se puro.	Criaturas de luz recebem bônus; mortos-vivos e seres das trevas sofrem penalidades.	+5 PM: Magias de cura na área são maximizadas.	Cria a imagem de Tormenta 20 para a Magia 'Consagrar' que é do tipo 'Evocação (Luz)', do 2º círculo, com o efeito 'Uma área é banhada por uma luz celestial permanente; a grama cresce e o ar torna-se puro.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Despedaçar	Evocação (Som)	Um som agudo e ensurdecedor vibra no ar, rachando pedras e destruindo objetos.	Causa 3d8 de dano sônico em área ou destrói um objeto inanimado.	+2 PM: Aumenta o dano em +1d8.+5 PM: Criaturas na área ficam surdas.	Cria a imagem de Tormenta 20 para a Magia 'Despedaçar' que é do tipo 'Evocação (Som)', do 2º círculo, com o efeito 'Um som agudo e ensurdecedor vibra no ar, rachando pedras e destruindo objetos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Flecha Ácida	Evocação (Ácido)	Um dardo de substância verde e borbulhante atinge o alvo, corroendo carne e metal.	Causa 4d4 de dano de ácido imediato e 2d4 na rodada seguinte.	+2 PM: Aumenta o dano inicial em +2d4.	Cria a imagem de Tormenta 20 para a Magia 'Flecha Ácida' que é do tipo 'Evocação (Ácido)', do 2º círculo, com o efeito 'Um dardo de substância verde e borbulhante atinge o alvo, corroendo carne e metal.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Purificação	Evocação (Luz)	Uma onda de energia purificadora percorre o corpo do alvo, expulsando impurezas.	Remove condições como cego, surdo, envenenado ou paralisado.	+5 PM: Também remove doenças e maldições.	Cria a imagem de Tormenta 20 para a Magia 'Purificação' que é do tipo 'Evocação (Luz)', do 2º círculo, com o efeito 'Uma onda de energia purificadora percorre o corpo do alvo, expulsando impurezas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Sopro de Gelo	Evocação (Gelo)	O conjurador exala uma nuvem de cristais de gelo e ventos polares que congelam tudo à frente.	Causa 6d6 de dano de frio em um cone de 6 metros.	+2 PM: Aumenta o dano em +2d6.+2 PM: Alvos que falham ficam lentos.	Cria a imagem de Tormenta 20 para a Magia 'Sopro de Gelo' que é do tipo 'Evocação (Gelo)', do 2º círculo, com o efeito 'O conjurador exala uma nuvem de cristais de gelo e ventos polares que congelam tudo à frente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Camuflagem Ilusória	Ilusão	O alvo torna-se levemente translúcido e suas bordas parecem desfocadas, dificultando a mira.	O alvo recebe camuflagem (ataques têm 20% de chance de erro).	+2 PM: A camuflagem torna-se total (50% de chance de erro).	Cria a imagem de Tormenta 20 para a Magia 'Camuflagem Ilusória' que é do tipo 'Ilusão', do 2º círculo, com o efeito 'O alvo torna-se levemente translúcido e suas bordas parecem desfocadas, dificultando a mira.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Manto de Sombras	Ilusão (Trevas)	Sombras densas e fluidas envolvem o alvo, escondendo-o completamente em locais escuros.	O alvo recebe +10 em Furtividade e camuflagem em penumbra.	+5 PM: O alvo torna-se invisível enquanto estiver nas sombras.	Cria a imagem de Tormenta 20 para a Magia 'Manto de Sombras' que é do tipo 'Ilusão (Trevas)', do 2º círculo, com o efeito 'Sombras densas e fluidas envolvem o alvo, escondendo-o completamente em locais escuros.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
2º	Silêncio	Ilusão	Uma redoma de vácuo sonoro é criada; nenhum som sai ou entra na área.	Criaturas na área ficam imunes a dano sônico e não podem conjurar magias com voz.	+2 PM: O raio da área aumenta em +1,5m.	Cria a imagem de Tormenta 20 para a Magia 'Silêncio' que é do tipo 'Ilusão', do 2º círculo, com o efeito 'Uma redoma de vácuo sonoro é criada; nenhum som sai ou entra na área.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
