Nível	Magia	Escola de Magia	Descrição Visual/Efeito	Prompt Base
0	Luzes Dançantes	Ilusão	Cria até quatro luzes flutuantes (como tochas ou esferas) que se movem pelo ar.	Cria a imagem de D&D para a Magia 'Luzes Dançantes' que é do tipo 'Ilusão', do nível 0, com o efeito 'Cria até quatro luzes flutuantes (como tochas ou esferas) que se movem pelo ar.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Mãos Mágicas	Invocação	Uma mão espectral flutuante que manipula objetos à distância.	Cria a imagem de D&D para a Magia 'Mãos Mágicas' que é do tipo 'Invocação', do nível 0, com o efeito 'Uma mão espectral flutuante que manipula objetos à distância.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Mensagem	Transmutação	Permite sussurrar uma mensagem que apenas o alvo ouve.	Cria a imagem de D&D para a Magia 'Mensagem' que é do tipo 'Transmutação', do nível 0, com o efeito 'Permite sussurrar uma mensagem que apenas o alvo ouve.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Orientação	Adivinhação	O conjurador toca um aliado, imbuindo-o com um bônus de intuição (1d4).	Cria a imagem de D&D para a Magia 'Orientação' que é do tipo 'Adivinhação', do nível 0, com o efeito 'O conjurador toca um aliado, imbuindo-o com um bônus de intuição (1d4).'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Palavra de Radiância	Evocação	Uma explosão de luz sagrada que emana do conjurador.	Cria a imagem de D&D para a Magia 'Palavra de Radiância' que é do tipo 'Evocação', do nível 0, com o efeito 'Uma explosão de luz sagrada que emana do conjurador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Prestidigitação Arcana	Transmutação	Pequenos truques mágicos: faíscas, odores, limpeza ou aquecimento.	Cria a imagem de D&D para a Magia 'Prestidigitação Arcana' que é do tipo 'Transmutação', do nível 0, com o efeito 'Pequenos truques mágicos: faíscas, odores, limpeza ou aquecimento.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Proteção Contra Lâminas	Abjuração	Cria uma barreira mágica momentânea contra ataques físicos.	Cria a imagem de D&D para a Magia 'Proteção Contra Lâminas' que é do tipo 'Abjuração', do nível 0, com o efeito 'Cria uma barreira mágica momentânea contra ataques físicos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Raio de Fogo	Evocação	Arremessa uma partícula de fogo incandescente contra um alvo.	Cria a imagem de D&D para a Magia 'Raio de Fogo' que é do tipo 'Evocação', do nível 0, com o efeito 'Arremessa uma partícula de fogo incandescente contra um alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Raio de Gelo	Evocação	Um feixe de frio azulado que reduz a velocidade do alvo.	Cria a imagem de D&D para a Magia 'Raio de Gelo' que é do tipo 'Evocação', do nível 0, com o efeito 'Um feixe de frio azulado que reduz a velocidade do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Raio Místico	Evocação	Um feixe de energia pura e poderosa (típico de bruxos).	Cria a imagem de D&D para a Magia 'Raio Místico' que é do tipo 'Evocação', do nível 0, com o efeito 'Um feixe de energia pura e poderosa (típico de bruxos).'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Rajada de Veneno	Necromancia	Projeta um gás venenoso ou spray tóxico.	Cria a imagem de D&D para a Magia 'Rajada de Veneno' que é do tipo 'Necromancia', do nível 0, com o efeito 'Projeta um gás venenoso ou spray tóxico.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Reparar	Transmutação	Conserta rupturas em objetos, como elos de corrente, chaves ou mantos rasgados.	Cria a imagem de D&D para a Magia 'Reparar' que é do tipo 'Transmutação', do nível 0, com o efeito 'Conserta rupturas em objetos, como elos de corrente, chaves ou mantos rasgados.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Resistência	Abjuração	Fortalece a determinação e as defesas de um aliado.	Cria a imagem de D&D para a Magia 'Resistência' que é do tipo 'Abjuração', do nível 0, com o efeito 'Fortalece a determinação e as defesas de um aliado.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Talho Mental	Encantamento	Uma punhalada de energia psíquica que desorienta o alvo.	Cria a imagem de D&D para a Magia 'Talho Mental' que é do tipo 'Encantamento', do nível 0, com o efeito 'Uma punhalada de energia psíquica que desorienta o alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Taumaturgia	Transmutação	Manifestações sobrenaturais: voz trovejante, chamas tremeluzentes ou tremores.	Cria a imagem de D&D para a Magia 'Taumaturgia' que é do tipo 'Transmutação', do nível 0, com o efeito 'Manifestações sobrenaturais: voz trovejante, chamas tremeluzentes ou tremores.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Toque Chocante	Evocação	Eletricidade que corre pelas mãos do conjurador para atingir o alvo.	Cria a imagem de D&D para a Magia 'Toque Chocante' que é do tipo 'Evocação', do nível 0, com o efeito 'Eletricidade que corre pelas mãos do conjurador para atingir o alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Toque Necrótico	Necromancia	Uma mão esquelética fantasmagórica que impede a cura do alvo.	Cria a imagem de D&D para a Magia 'Toque Necrótico' que é do tipo 'Necromancia', do nível 0, com o efeito 'Uma mão esquelética fantasmagórica que impede a cura do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Trovão	Evocação	Cria uma onda de som estrondoso audível à distância.	Cria a imagem de D&D para a Magia 'Trovão' que é do tipo 'Evocação', do nível 0, com o efeito 'Cria uma onda de som estrondoso audível à distância.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Zombaria Perversa	Encantamento	Insultos imbuídos de magia que causam dor mental ao alvo.	Cria a imagem de D&D para a Magia 'Zombaria Perversa' que é do tipo 'Encantamento', do nível 0, com o efeito 'Insultos imbuídos de magia que causam dor mental ao alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Alarme	Abjuração	Cria um alerta mental ou sonoro caso uma criatura entre na área protegida.	Cria a imagem de D&D para a Magia 'Alarme' que é do tipo 'Abjuração', do nível 1, com o efeito 'Cria um alerta mental ou sonoro caso uma criatura entre na área protegida.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Amizade Animal	Encantamento	Convence um animal de que o conjurador não é uma ameaça.	Cria a imagem de D&D para a Magia 'Amizade Animal' que é do tipo 'Encantamento', do nível 1, com o efeito 'Convence um animal de que o conjurador não é uma ameaça.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Armadura de Agathys	Abjuração	Uma barreira de gelo espectral envolve o conjurador, fornecendo proteção e causando dano de frio a quem o toca.	Cria a imagem de D&D para a Magia 'Armadura de Agathys' que é do tipo 'Abjuração', do nível 1, com o efeito 'Uma barreira de gelo espectral envolve o conjurador, fornecendo proteção e causando dano de frio a quem o toca.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Armadura Arcana	Abjuração	Uma força mágica protetora envolve um alvo sem armadura, aumentando sua defesa.	Cria a imagem de D&D para a Magia 'Armadura Arcana' que é do tipo 'Abjuração', do nível 1, com o efeito 'Uma força mágica protetora envolve um alvo sem armadura, aumentando sua defesa.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Bênção (Bless)	Encantamento	Uma benção divina que concede bônus em jogadas de ataque e salvaguardas a aliados.	Cria a imagem de D&D para a Magia 'Bênção (Bless)' que é do tipo 'Encantamento', do nível 1, com o efeito 'Uma benção divina que concede bônus em jogadas de ataque e salvaguardas a aliados.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Bom Fruto	Invocação	Cria bagas mágicas que nutrem e curam quem as come.	Cria a imagem de D&D para a Magia 'Bom Fruto' que é do tipo 'Invocação', do nível 1, com o efeito 'Cria bagas mágicas que nutrem e curam quem as come.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Braços de Hadar	Invocação	Tentáculos de energia negra surgem do conjurador, atingindo criaturas ao redor.	Cria a imagem de D&D para a Magia 'Braços de Hadar' que é do tipo 'Invocação', do nível 1, com o efeito 'Tentáculos de energia negra surgem do conjurador, atingindo criaturas ao redor.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Comando	Encantamento	Uma ordem de uma única palavra que obriga o alvo a obedecer.	Cria a imagem de D&D para a Magia 'Comando' que é do tipo 'Encantamento', do nível 1, com o efeito 'Uma ordem de uma única palavra que obriga o alvo a obedecer.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Compreender Idiomas	Adivinhação	Permite entender o significado literal de qualquer idioma falado ou escrito.	Cria a imagem de D&D para a Magia 'Compreender Idiomas' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Permite entender o significado literal de qualquer idioma falado ou escrito.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Convocar Familiar	Invocação	Invoca um espírito que assume a forma de um animal para servir ao conjurador.	Cria a imagem de D&D para a Magia 'Convocar Familiar' que é do tipo 'Invocação', do nível 1, com o efeito 'Invoca um espírito que assume a forma de um animal para servir ao conjurador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Criar ou Destruir Água	Transmutação	Cria água limpa ou destrói massas de água e névoa.	Cria a imagem de D&D para a Magia 'Criar ou Destruir Água' que é do tipo 'Transmutação', do nível 1, com o efeito 'Cria água limpa ou destrói massas de água e névoa.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Curar Ferimentos	Abjuração	Energia curativa transmitida pelo toque que restaura pontos de vida.	Cria a imagem de D&D para a Magia 'Curar Ferimentos' que é do tipo 'Abjuração', do nível 1, com o efeito 'Energia curativa transmitida pelo toque que restaura pontos de vida.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Danação (Hex)	Encantamento	Uma maldição que causa dano necrótico extra ao alvo e o atrapalha em testes de atributo.	Cria a imagem de D&D para a Magia 'Danação (Hex)' que é do tipo 'Encantamento', do nível 1, com o efeito 'Uma maldição que causa dano necrótico extra ao alvo e o atrapalha em testes de atributo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Destruição Cauterizante	Evocação	O próximo ataque com arma incendeia o alvo, causando dano ígneo contínuo.	Cria a imagem de D&D para a Magia 'Destruição Cauterizante' que é do tipo 'Evocação', do nível 1, com o efeito 'O próximo ataque com arma incendeia o alvo, causando dano ígneo contínuo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Destruição Colérica	Necromancia	O ataque imbuído causa medo no alvo.	Cria a imagem de D&D para a Magia 'Destruição Colérica' que é do tipo 'Necromancia', do nível 1, com o efeito 'O ataque imbuído causa medo no alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Destruição Divina	Evocação	Um golpe marcial fortalecido com radiância divina.	Cria a imagem de D&D para a Magia 'Destruição Divina' que é do tipo 'Evocação', do nível 1, com o efeito 'Um golpe marcial fortalecido com radiância divina.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Destruição Estrondosa	Evocação	Um golpe que emite um estrondo sônico, podendo derrubar o inimigo.	Cria a imagem de D&D para a Magia 'Destruição Estrondosa' que é do tipo 'Evocação', do nível 1, com o efeito 'Um golpe que emite um estrondo sônico, podendo derrubar o inimigo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Detectar Magia	Adivinhação	Permite sentir a presença e a aura de magias próximas.	Cria a imagem de D&D para a Magia 'Detectar Magia' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Permite sentir a presença e a aura de magias próximas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Detectar o Bem e o Mal	Adivinhação	Revela se criaturas extraplanares (celestiais, ínferos, etc.) estão por perto.	Cria a imagem de D&D para a Magia 'Detectar o Bem e o Mal' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Revela se criaturas extraplanares (celestiais, ínferos, etc.) estão por perto.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Detectar Veneno e Doença	Adivinhação	Revela a presença e o tipo de substâncias tóxicas ou enfermidades.	Cria a imagem de D&D para a Magia 'Detectar Veneno e Doença' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Revela a presença e o tipo de substâncias tóxicas ou enfermidades.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Disco Flutuante de Tenser	Invocação	Um plano de força circular e horizontal que flutua e carrega peso.	Cria a imagem de D&D para a Magia 'Disco Flutuante de Tenser' que é do tipo 'Invocação', do nível 1, com o efeito 'Um plano de força circular e horizontal que flutua e carrega peso.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Disfarçar-se	Ilusão	Altera magicamente a aparência física, roupas e equipamentos.	Cria a imagem de D&D para a Magia 'Disfarçar-se' que é do tipo 'Ilusão', do nível 1, com o efeito 'Altera magicamente a aparência física, roupas e equipamentos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Duelo Compelido	Encantamento	Força um inimigo a focar seus ataques apenas no conjurador.	Cria a imagem de D&D para a Magia 'Duelo Compelido' que é do tipo 'Encantamento', do nível 1, com o efeito 'Força um inimigo a focar seus ataques apenas no conjurador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Emaranhar	Invocação	Ervas e vinhas surgem do chão para prender criaturas em uma área.	Cria a imagem de D&D para a Magia 'Emaranhar' que é do tipo 'Invocação', do nível 1, com o efeito 'Ervas e vinhas surgem do chão para prender criaturas em uma área.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Enfeitiçar Pessoa	Encantamento	Torna um humanoide amigável ao conjurador através de influência mental.	Cria a imagem de D&D para a Magia 'Enfeitiçar Pessoa' que é do tipo 'Encantamento', do nível 1, com o efeito 'Torna um humanoide amigável ao conjurador através de influência mental.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Escrita Ilusória	Ilusão	Faz com que um texto pareça ser algo completamente diferente para quem não é o destinatário.	Cria a imagem de D&D para a Magia 'Escrita Ilusória' que é do tipo 'Ilusão', do nível 1, com o efeito 'Faz com que um texto pareça ser algo completamente diferente para quem não é o destinatário.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Escudo Arcano (Shield)	Abjuração	Uma barreira invisível de força surge para bloquear ataques e mísseis mágicos.	Cria a imagem de D&D para a Magia 'Escudo Arcano (Shield)' que é do tipo 'Abjuração', do nível 1, com o efeito 'Uma barreira invisível de força surge para bloquear ataques e mísseis mágicos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Escudo da Fé	Abjuração	Um campo cintilante envolve uma criatura, protegendo-a contra ataques.	Cria a imagem de D&D para a Magia 'Escudo da Fé' que é do tipo 'Abjuração', do nível 1, com o efeito 'Um campo cintilante envolve uma criatura, protegendo-a contra ataques.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Faca de Gelo	Invocação	Cria um estilhaço de gelo que explode em fragmentos ao atingir o alvo.	Cria a imagem de D&D para a Magia 'Faca de Gelo' que é do tipo 'Invocação', do nível 1, com o efeito 'Cria um estilhaço de gelo que explode em fragmentos ao atingir o alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Falar com Animais	Adivinhação	Permite a comunicação verbal com feras.	Cria a imagem de D&D para a Magia 'Falar com Animais' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Permite a comunicação verbal com feras.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Favor Divino	Transmutação	O conjurador irradia uma energia que faz suas armas causarem dano radiante extra.	Cria a imagem de D&D para a Magia 'Favor Divino' que é do tipo 'Transmutação', do nível 1, com o efeito 'O conjurador irradia uma energia que faz suas armas causarem dano radiante extra.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Fogo das Fadas	Evocação	Luzes coloridas delineiam objetos e criaturas, impedindo a invisibilidade e facilitando ataques.	Cria a imagem de D&D para a Magia 'Fogo das Fadas' que é do tipo 'Evocação', do nível 1, com o efeito 'Luzes coloridas delineiam objetos e criaturas, impedindo a invisibilidade e facilitando ataques.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Gargalhada Nefasta de Tasha	Encantamento	O alvo é tomado por uma crise de riso incontrolável e cai no chão.	Cria a imagem de D&D para a Magia 'Gargalhada Nefasta de Tasha' que é do tipo 'Encantamento', do nível 1, com o efeito 'O alvo é tomado por uma crise de riso incontrolável e cai no chão.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Golpe Constritor	Invocação	O ataque faz com que vinhas espinhosas brotem e prendam o alvo.	Cria a imagem de D&D para a Magia 'Golpe Constritor' que é do tipo 'Invocação', do nível 1, com o efeito 'O ataque faz com que vinhas espinhosas brotem e prendam o alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Graxa	Invocação	Cobre o chão com uma camada escorregadia que faz criaturas caírem.	Cria a imagem de D&D para a Magia 'Graxa' que é do tipo 'Invocação', do nível 1, com o efeito 'Cobre o chão com uma camada escorregadia que faz criaturas caírem.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Heroísmo	Encantamento	Imbui uma criatura com bravura, tornando-a imune ao medo e concedendo vitalidade.	Cria a imagem de D&D para a Magia 'Heroísmo' que é do tipo 'Encantamento', do nível 1, com o efeito 'Imbui uma criatura com bravura, tornando-a imune ao medo e concedendo vitalidade.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Identificar	Adivinhação	Revela as propriedades mágicas de um item ou os efeitos de uma magia.	Cria a imagem de D&D para a Magia 'Identificar' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Revela as propriedades mágicas de um item ou os efeitos de uma magia.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Imagem Silenciosa	Ilusão	Cria uma imagem visual estática ou móvel que não produz som ou cheiro.	Cria a imagem de D&D para a Magia 'Imagem Silenciosa' que é do tipo 'Ilusão', do nível 1, com o efeito 'Cria uma imagem visual estática ou móvel que não produz som ou cheiro.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Infligir Ferimentos	Necromancia	Um toque que canaliza energia negativa, causando dano necrótico severo.	Cria a imagem de D&D para a Magia 'Infligir Ferimentos' que é do tipo 'Necromancia', do nível 1, com o efeito 'Um toque que canaliza energia negativa, causando dano necrótico severo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Leque Cromático	Ilusão	Um flash deslumbrante de luzes coloridas que pode cegar criaturas.	Cria a imagem de D&D para a Magia 'Leque Cromático' que é do tipo 'Ilusão', do nível 1, com o efeito 'Um flash deslumbrante de luzes coloridas que pode cegar criaturas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Mãos Flamejantes	Evocação	Um cone de chamas irrompe das pontas dos dedos do conjurador.	Cria a imagem de D&D para a Magia 'Mãos Flamejantes' que é do tipo 'Evocação', do nível 1, com o efeito 'Um cone de chamas irrompe das pontas dos dedos do conjurador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Marca do Predador	Adivinhação	Marca magicamente uma presa, facilitando o rastreio e o dano causado a ela.	Cria a imagem de D&D para a Magia 'Marca do Predador' que é do tipo 'Adivinhação', do nível 1, com o efeito 'Marca magicamente uma presa, facilitando o rastreio e o dano causado a ela.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Mísseis Mágicos	Evocação	Cria três dardos de força pura que atingem infalivelmente seus alvos.	Cria a imagem de D&D para a Magia 'Mísseis Mágicos' que é do tipo 'Evocação', do nível 1, com o efeito 'Cria três dardos de força pura que atingem infalivelmente seus alvos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Névoa Obscurecente	Invocação	Cria uma nuvem de névoa densa que bloqueia totalmente a visão.	Cria a imagem de D&D para a Magia 'Névoa Obscurecente' que é do tipo 'Invocação', do nível 1, com o efeito 'Cria uma nuvem de névoa densa que bloqueia totalmente a visão.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Onda Trovejante	Evocação	Uma onda de força sônica que empurra criaturas e causa dano de trovão.	Cria a imagem de D&D para a Magia 'Onda Trovejante' que é do tipo 'Evocação', do nível 1, com o efeito 'Uma onda de força sônica que empurra criaturas e causa dano de trovão.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Orbe Cromático	Evocação	Uma esfera de energia elementar (fogo, gelo, etc.) arremessada contra o alvo.	Cria a imagem de D&D para a Magia 'Orbe Cromático' que é do tipo 'Evocação', do nível 1, com o efeito 'Uma esfera de energia elementar (fogo, gelo, etc.) arremessada contra o alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Palavra Curativa	Abjuração	Uma palavra de poder que restaura a saúde de uma criatura à distância.	Cria a imagem de D&D para a Magia 'Palavra Curativa' que é do tipo 'Abjuração', do nível 1, com o efeito 'Uma palavra de poder que restaura a saúde de uma criatura à distância.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Passos Largos	Transmutação	Aumenta magicamente a velocidade de deslocamento de uma criatura.	Cria a imagem de D&D para a Magia 'Passos Largos' que é do tipo 'Transmutação', do nível 1, com o efeito 'Aumenta magicamente a velocidade de deslocamento de uma criatura.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1	Perdição (Bane)	Encantamento	Amaldiçoa inimigos, dificultando suas jogadas de ataque e salvaguardas.	Cria a imagem de D&D para a Magia 'Perdição (Bane)' que é do tipo 'Encantamento', do nível 1, com o efeito 'Amaldiçoa inimigos, dificultando suas jogadas de ataque e salvaguardas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
